Municipalities,Year,allAges,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,av_Income
Helsingør,2001,0.402454640701136,0.0715105353311936,0.0764996424473234,0.0931299995010893,0.0864778566795829,0.0498910711612978,0.0216194641698957,0.00166303570537659,152789
Helsingør,2002,0.376573184025369,0.0429425560730684,0.0677171076536848,0.0693687444257259,0.0924916592343012,0.0677171076536848,0.0330327354408219,0.00165163677204109,169738
Helsingør,2003,0.359920091135729,0.0511812973633377,0.0610873549175321,0.0660403836946293,0.0693424028793607,0.0775974508411894,0.0330201918473146,0.00165100959236573,166245
Helsingør,2004,0.370935709947971,0.0558044873373053,0.0787828056526663,0.060728412690597,0.0623697211416942,0.0820654225548607,0.0279022436686526,0.00164130845109721,174286
Helsingør,2005,0.363814340484542,0.0538379965739457,0.0505750876906762,0.0783098131984664,0.0701525409902928,0.0783098131984664,0.0309976343910596,0.00163145444163472,182892
Helsingør,2006,0.329312031300946,0.0554287577437235,0.0733615911313988,0.0309748940332573,0.0798826214541898,0.0554287577437235,0.0309748940332573,0.00163025758069775,187215
Helsingør,2007,0.324526322690618,0.0540877204484364,0.0622828296072904,0.0540877204484364,0.0671998951026028,0.0606438077755196,0.024585327476562,0.0016390218317708,197517
Helsingør,2008,0.427322332522517,0.092038656235619,0.0756031819078299,0.0854644665045033,0.0772467293406088,0.0657418973111564,0.0312274012227993,0,191679
Helsingør,2009,0.417669893371333,0.0655168460190326,0.126119928586638,0.0671547671695085,0.0638789248685568,0.0540513979657019,0.0376721864609438,0.00163792115047582,190185
Helsingør,2010,0.425232651325581,0.0572428569092128,0.106308162831395,0.0686914282910554,0.0719624486858676,0.0834110200677101,0.0376167345403399,0,208852
Helsingør,2011,0.418785034545692,0.0668100638769391,0.0961413114326685,0.0537739538521705,0.086364228914092,0.0700690913831313,0.0407378438274019,0.00162951375309608,213742
Helsingør,2012,0.417933748556746,0.069926658318833,0.108955490868879,0.0617956515375734,0.069926658318833,0.0813100678125965,0.024393020343779,0.00162620135625193,219131
Helsingør,2013,0.384659081687306,0.0762826026974827,0.108743284696411,0.066544398097804,0.0503140570983396,0.0470679888984468,0.0324606819989288,0.00162303409994644,227974
Helsingør,2014,0.398250946861945,0.0861522456476861,0.0942798159918074,0.073148133097092,0.0715226190282677,0.0520164502023765,0.0195061688258912,0.00162551406882427,233337
Helsingør,2015,0.35371235721703,0.0567886812045691,0.0941069574247144,0.0795041536863967,0.0486760124610592,0.0486760124610592,0.0259605399792316,0,239974
Helsingør,2016,0.339818334084906,0.0515364298138246,0.078915158152419,0.080525671584101,0.0595889969722347,0.0386523223603685,0.0289892417702764,0.00161051343168202,242869
Helsingør,2017,0.288262895760934,0.033630671172109,0.0720657239402335,0.0656598818122127,0.059254039684192,0.0352321317041141,0.0224204474480726,0,249399
